Alabama	32.806673	-86.791133
Alaska	61.370717	-152.404420
Arizona	33.729761	-111.431224
Arkansas	34.969705	-92.373124
California	36.116203	-119.681563
Colorado	39.059810	-105.311105
Connecticut	41.597781	-72.755369
Delaware	39.318522	-75.507138
District of Columbia	38.897439	-77.026816
Fla	Florida	27.766279	-81.686782
Georgia	33.040618	-83.643072
Hawaii	21.094319	-157.498339
Idaho	44.240460	-114.478825
Illinois	40.349455	-88.986137
Indiana	39.849425	-86.258278
Iowa	42.011538	-93.210526
Kansas	38.526599	-96.726489
Kentucky	37.668141	-84.670064
Louisiana	31.169546	-91.867805
Maine	44.693948	-69.381924
Maryland	39.063944	-76.802101
Massachusetts	42.230173	-71.530104
Michigan	43.326618	-84.536093
Minnesota	45.694455	-93.900189
Mississippi	32.741647	-89.678697
Missouri	38.456087	-92.288368
Montana	46.921924	-110.454351
Nebraska	41.125370	-98.268081
Nevada	38.313513	-117.055372
New Hampshire	43.452491	-71.563899
New Jersey	40.298904	-74.521013
New Mexico	34.840514	-106.248483
New York	42.165724	-74.948052
North Carolina	35.630066	-79.806417
North Dakota	47.528910	-99.784012
Ohio	40.388781	-82.764916
Oklahoma	35.565342	-96.928919
Oregon	44.572020	-122.070939
Pennsylvania	40.590752	-77.209755
Rhode Island	41.680893	-71.511782
South Carolina	33.856893	-80.945011
South Dakota	44.299782	-99.438825
Tennessee	35.747845	-86.692343
Texas	31.054487	-97.563460
Utah	40.150032	-111.862433
Vermont	44.045877	-72.710689
Virginia	37.769335	-78.169968
Washington	47.400902	-121.490493
West Virginia	38.491226	-80.954452
Wisconsin	44.268544	-89.616509
Wyoming	42.755965	-107.302488
